,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E07000115,29UP,Tonbridge and Malling,SE,0.16,2,6,0,0,3,5,0,8,0,0,0
,E06000027,00HH,Torbay,SW,0.39,3,21,0,0,4,19,1,21,0,1,2
,E07000046,18UK,Torridge,SW,0.13,1,3,0,0,1,3,0,4,0,0,0
,E09000030,00BG,Tower Hamlets,L,0.17,1,19,1,0,0,15,6,14,3,2,2
,E08000009,00BU,Trafford,NW,0.05,1,4,0,0,0,5,0,5,0,0,0
,E07000116,29UQ,Tunbridge Wells,SE,0.41,6,14,0,0,7,13,0,20,0,0,0
,E07000077,22UQ,Uttlesford,EE,0.06,0,2,0,0,0,2,0,2,0,0,0
,E07000180,38UE,Vale of White Horse,SE,0.19,1,9,0,0,1,9,0,10,0,0,0
,E08000036,00DB,Wakefield,YH,0.05,1,6,0,0,0,7,0,6,1,0,0
,E08000030,00CU,Walsall,WM,0.18,4,16,0,0,2,18,0,19,1,0,0
,E09000031,00BH,Waltham Forest,L,0.43,8,36,0,0,2,37,5,25,6,3,10
,E09000032,00BJ,Wandsworth,L,0.10,1,12,0,0,0,9,4,5,1,2,5
,E06000007,00EU,Warrington,NW,0.04,0,4,0,0,0,4,0,4,0,0,0
,E07000222,44UF,Warwick,WM,0.35,4,17,0,0,0,18,3,19,0,0,2
,E07000103,26UK,Watford,EE,0.15,1,5,0,0,0,6,0,0,5,1,0
,E07000206,42UH,Waveney,EE,0.15,2,6,0,0,2,6,0,8,0,0,0
,E07000216,43UL,Waverley,SE,0.02,0,1,0,0,0,1,0,1,0,0,0
,E07000065,21UH,Wealden,SE,0.06,0,4,0,0,1,1,2,4,0,0,0
,E07000156,34UH,Wellingborough,EM,0.36,1,11,0,0,0,12,0,10,2,0,0
,E07000241,26UL,Welwyn Hatfield,EE,0.38,5,13,0,0,3,10,5,5,13,0,0
,E06000037,00MB,West Berkshire,SE,0.31,2,18,0,0,5,15,0,18,2,0,0
,E07000047,18UL,West Devon,SW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000052,19UH,West Dorset,SW,0.04,0,2,0,0,0,2,0,2,0,0,0
,E07000127,30UP,West Lancashire,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000142,32UH,West Lindsey,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000181,38UF,West Oxfordshire,SE,0.15,3,4,0,0,3,4,0,6,0,0,1
,E07000191,40UF,West Somerset,SW,0.25,0,4,0,0,0,4,0,4,0,0,0
,E09000033,00BK,Westminster,L,1.89,10,156,51,0,12,154,51,103,51,21,42
,E07000053,19UJ,Weymouth and Portland,SW,0.61,4,14,0,0,0,16,2,15,0,1,2
,E08000010,00BW,Wigan,NW,0.21,3,27,0,0,3,27,0,29,0,0,1
,E06000054,00HY,Wiltshire,SW,0.15,6,24,1,0,3,20,8,28,1,0,2
,E07000094,24UP,Winchester,SE,0.18,1,8,0,0,0,9,0,9,0,0,0
,E06000040,00ME,Windsor and Maidenhead,SE,0.18,2,9,0,0,1,10,0,10,1,0,0
,E08000015,00CB,Wirral,NW,0.10,0,14,0,0,1,13,0,14,0,0,0
,E07000217,43UM,Woking,SE,0.45,4,14,0,0,1,17,0,14,4,0,0
,E06000041,00MF,Wokingham,SE,0.16,1,9,0,0,1,9,0,8,1,1,0
,E08000031,00CW,Wolverhampton,WM,0.18,1,18,0,0,2,17,0,7,11,1,0
,E07000237,47UE,Worcester,WM,0.27,4,7,1,0,1,7,4,8,0,0,4
,E07000229,45UH,Worthing,SE,0.71,4,31,0,0,1,34,0,28,6,0,1
,E07000238,47UF,Wychavon,WM,0.06,0,3,0,0,0,1,2,2,1,0,0
,E07000007,11UF,Wycombe,SE,0.20,1,13,0,0,0,14,0,12,2,0,0
,E07000128,30UQ,Wyre,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000239,47UG,Wyre Forest,WM,0.09,1,3,0,0,1,2,1,4,0,0,0
,E06000014,00FF,York,YH,0.34,3,26,0,0,0,29,0,26,3,0,0
