,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E08000026,00CQ,Coventry,WM,0.06,2,6,0,0,0,8,0,7,1,0,0
,E07000163,36UB,Craven,YH,0.04,0,1,0,0,0,1,0,1,0,0,0
,E07000226,45UE,Crawley,SE,0.38,2,15,0,0,3,14,0,15,1,1,0
,E09000008,00AH,Croydon,L,0.20,5,26,0,0,4,27,0,17,2,7,5
,E07000096,26UC,Dacorum,EE,0.11,1,6,0,0,0,7,0,7,0,0,0
,E06000005,00EH,Darlington,NE,0.06,1,2,0,0,0,3,0,3,0,0,0
,E07000107,29UD,Dartford,SE,0.21,1,8,0,0,1,8,0,5,2,2,0
,E07000151,34UC,Daventry,EM,0.06,0,2,0,0,0,2,0,2,0,0,0
,E06000015,00FK,Derby,EM,0.35,5,27,5,0,4,24,9,23,7,2,5
,E07000035,17UF,Derbyshire Dales,EM,0.06,1,1,0,0,0,2,0,2,0,0,0
,E08000017,00CE,Doncaster,YH,0.06,1,7,0,0,2,5,1,8,0,0,0
,E07000108,29UE,Dover,SE,0.26,4,9,0,0,0,13,0,11,2,0,0
,E08000027,00CR,Dudley,WM,0.08,1,10,0,0,1,4,6,11,0,0,0
,E09000009,00AJ,Ealing,L,0.50,1,61,0,0,1,61,0,9,31,18,4
,E07000009,12UC,East Cambridgeshire,EE,0.05,0,0,2,0,0,0,2,0,0,0,2
,E07000040,18UB,East Devon,SW,0.10,1,5,0,0,2,0,4,6,0,0,0
,E07000049,19UD,East Dorset,SW,0.03,0,1,0,0,1,0,0,1,0,0,0
,E07000085,24UC,East Hampshire,SE,0.04,0,2,0,0,0,2,0,2,0,0,0
,E07000242,26UD,East Hertfordshire,EE,0.05,0,3,0,1,1,1,0,3,0,0,0
,E07000137,32UC,East Lindsey,EM,0.14,0,9,0,0,0,9,0,9,0,0,0
,E07000152,34UD,East Northamptonshire,EM,0.16,3,3,0,0,0,6,0,5,0,1,0
,E06000011,00FB,East Riding of Yorkshire,YH,0.07,0,10,0,0,1,9,0,10,0,0,0
,E07000193,41UC,East Staffordshire,WM,0.33,1,7,8,0,0,8,8,8,0,0,8
,E07000061,21UC,Eastbourne,SE,0.87,5,36,0,0,4,27,10,37,2,1,1
,E07000086,24UD,Eastleigh,SE,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000030,16UF,Eden,NW,0.04,0,1,0,0,0,0,1,0,0,0,1
,E07000207,43UB,Elmbridge,SE,0.15,3,5,0,0,0,7,1,7,1,0,0
,E09000010,00AK,Enfield,L,0.07,0,9,0,0,0,2,7,2,7,0,0
,E07000072,22UH,Epping Forest,EE,0.04,1,1,0,0,0,2,0,2,0,0,0
,E07000208,43UC,Epsom and Ewell,SE,0.10,0,3,0,0,1,2,0,2,1,0,0
,E07000036,17UG,Erewash,EM,0.06,1,2,0,0,0,3,0,3,0,0,0
,E07000041,18UC,Exeter,SW,0.66,6,29,0,0,2,33,0,34,1,0,0
,E07000087,24UE,Fareham,SE,0.20,2,8,0,0,0,10,0,10,0,0,0
,E07000010,12UD,Fenland,EE,0.21,2,7,0,0,0,9,0,1,8,0,0
,E07000201,42UC,Forest Heath,EE,0.27,2,5,0,0,2,5,0,6,1,0,0
,E07000080,23UD,Forest of Dean,SW,0.03,0,1,0,0,0,1,0,1,0,0,0
,E07000119,30UF,Fylde,NW,0.05,0,2,0,0,0,2,0,2,0,0,0
,E08000037,00CH,Gateshead,NE,0.09,2,6,0,0,1,4,3,8,0,0,0
,E07000173,37UE,Gedling,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
