Exec,Control, Con   ,Labour ,LibDem ,UKIP ,Green ,Others ,ONS code,Region,Unnamed: 3,"Number of households (2014-based household interim projections for 2017)1
(000s) ",White,Black or Black British,Asian or Asian British,Mixed,Other ethnic origin,Ethnic Group not Stated,Total_x,"Number per 1,000 households","Eligible, homeless and in priority need, but intentionally","Eligible, homeless but not in priority need","Eligible, but not homeless",Total decisions,Bed and breakfast (including shared annexe),Hostels,LA/HA stock,Private sector leased (by LA or HA),Other types (including private landlord),Total in temporary accommodation,"Number per 1,000 households.1",Duty owed but no accommodation has been secured at end of March 2018,Unemployment,Unemployment rate (%),Area Code,Total_y,Attendance Allowance,Bereavement Benefit/Widow's Benefit,Carer's Allowance,Unnamed: 6,Unnamed: 7,Disability Living Allowance,of which children,of which working age,of which pensioners,Discretionary Housing Payments,Employment And Support Allowance,Housing Benefit,Incapacity Benefit,Income Support,Unnamed: 17,of which incapacity benefits,of which Lone Parent,of which Carer,of which Others,Unnamed: 22,Jobseeker's Allowance,Unnamed: 24,Unnamed: 25,Pension Credit,Personal Independence Payment,Unnamed: 28,Unnamed: 29,Severe Disablement Allowance,of which working age.1,of which pensioners.1,State Pension,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Winter Fuel Payments
LC,Con,40,1,7,4,,2,E07000224,SE,,71.369,201,--,--,--,--,--,204.0,2.86,25,79,430,738,--,32,28,--,44,128,1.79,87,2500.0,3.3255163999999997,E07000224,530.278816116383,21.272544692872767,1.1776096235997824,4.874589982126918,,,20.454214932546513,3.5326490450977146,8.891991264967658,8.04697562769128,0.339215,32.46857090323501,49.732952,0.0,3.4662329785048462,,0.032850382542109535,2.371625629074761,0.9020956427456592,0.15360289783018372,,2.8523848144522046,,,14.119017950621082,17.33996047866333,,,0.4710785303003832,0.08995215730868937,0.38112637299169383,354.0533622250297,,,,,,,7.657082004430523
LC,Lab,4,21,5,,,5,E07000170,EM,,54.054,118,--,--,--,--,--,123.0,2.28,14,6,20,163,--,--,--,--,--,22,0.41,27,2600.0,4.262188640000001,E07000170,349.3753721891633,12.573985988325584,1.0302664105782684,8.229544704133739,,,27.430052579736298,5.875275313770487,10.61459786888279,10.943461620652613,0.230674,38.46237924311952,32.090416,0.0,5.958755956790228,,0.01509833049614162,3.8651883080279097,1.9011894984307025,0.2080838145013112,,4.0357772383425115,,,9.175285377404219,21.028255999745703,,,0.27074988006911377,0.03388751527838874,0.23686236479072503,184.8143736441891,,,,,,,4.044855166728989
LC,Con,34,3,1,2,,3,E07000105,SE,,52.768,147,6,--,--,--,--,160.0,3.03,11,19,51,241,--,--,48,47,56,167,3.16,47,2600.0,4.04141738,E07000105,316.9270506900709,10.0267386791728,0.9066925084224781,5.421794321783654,,,17.723089498746,4.575043874270988,7.510197330567801,5.659097436218474,0.297764,21.170696657995478,36.302547,0.0,4.419016734815423,,0.005539053573957673,2.907702507319988,1.2803334923670038,0.22772056766461735,,3.3256867488996704,,,10.19294343441697,13.479618784388466,,,0.2335437574359641,0.04518335370451832,0.18836040373144577,189.29927279598067,,,,,,,4.127645768013328
LC,Con,42,2,11,3,,1,E07000004,SE,,76.908,103,14,14,--,--,11,150.0,1.95,6,32,22,210,6,--,71,--,--,78,1.01,23,3000.0,2.72678834,E07000004,400.25470443045333,12.436529593581449,1.4893125532597604,4.899299080187577,,,18.260612082201312,5.277753414247767,7.909208501832613,5.1051961395443355,0.296142,25.094774030123254,45.295093,0.0,3.799691605894052,,0.010497299343119526,2.7838121832127563,0.8832945590161063,0.12343504655892822,,2.8374867591041597,,,8.835279789809555,14.734576530821286,,,0.20263494178570604,0.0,0.20263494178570604,256.6032005648346,,,,,,,5.4700718988505965
AA,Con,30,2,3,,,8,E07000200,EE,,39.329,67,--,--,--,--,--,72.0,1.83,--,--,28,106,11,--,17,--,--,36,0.92,17,1400.0,3.43153234,E07000200,254.35673877914058,9.581423832159793,0.7551353585644461,2.658370515852064,,,9.306521363967184,2.325180128277841,3.64669534116286,3.3341803409317534,0.129494,12.23336588122694,18.312335,0.07077283321473353,1.7299002686063691,,0.0326134272107051,1.0924308626073265,0.5190064774096032,0.07352440634173493,,0.9782914899843393,,,5.606590928571793,8.11953445758871,,,0.16669115016317013,0.022394830735427588,0.14429631942774254,180.8976970093666,,,,,,,3.810614689874442
LC,Lab,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,E09000002,L,,78.629,155,218,92,33,10,5,512.0,6.51,115,172,227,1026,--,153,269,1444,--,1876,23.86,--,6400.0,6.439944209999999,E09000002,452.326401087278,12.681095576105148,1.3327841375098717,11.155884158832967,,,29.650385057267293,8.125384289778152,11.544520898045059,9.997805184833764,1.054256,48.782878801148755,134.464408,0.05481388818332069,11.737658396305886,,0.040046341816865096,8.159754993637414,3.069392198271121,0.5086039869554978,,8.968786195300002,,,21.347148043745822,24.833958564343252,,,0.2672555803275771,0.03369458001156045,0.23356100031601668,142.2687126861302,,,,,,,3.7263760020778913
LC,,31,30,1,,,1,E09000003,L,,154.401,138,123,112,14,30,27,444.0,2.88,28,98,189,759,--,--,876,817,867,2579,16.7,--,8600.0,4.32216005,E09000003,908.5493007042658,23.63091047561346,2.141919684797561,11.613198371979303,,,37.67317307206315,8.829219984388324,18.046491744064006,10.85559831363928,1.793419,67.20299599881605,279.324803,0.03485434835836068,8.902310500444063,,0.10445632391159163,5.9495942080380395,2.280653588990995,0.5416522532840637,,9.773953692548336,,,41.9683859904351,32.06901167243183,,,0.5372658267795297,0.07879059139933893,0.4584752353801908,382.32243244424075,,,,,,,9.560666625758389
LC,Lab,4,55,,,,4,E08000016,YH,,106.733,29,--,5,--,--,5,41.0,0.38,5,21,57,124,--,6,7,--,--,17,0.16,--,5700.0,4.860910990000001,E08000016,702.1760770427978,22.328119670472965,1.8658985580198721,17.49303319025435,,,61.27599336322111,9.645404922407124,21.35621762650671,30.23745203831585,0.721612,80.77742169683252,68.332284,0.05327042489538761,11.412559509461154,,0.04265730450989661,6.778093044897155,4.273840536531934,0.34235867094040756,,7.7914720648354026,,,20.73026453008622,50.19014144471044,,,0.6613949114419141,0.01129583842612958,0.6500990730157845,350.7150549378364,,,,,,,7.827556740730122
AA,Lab,8,28,,,,,E07000027,NW,,30.73,--,--,--,--,--,--,13.0,0.42,--,--,25,47,--,--,7,--,--,8,0.26,--,1400.0,4.26725159,E07000027,208.99331331295562,8.35375153890061,0.6258887086075127,3.7964773885372036,,,16.76179821048195,2.233535546786146,4.631734209435469,9.86482781951113,0.126937,23.361629327190283,18.199106,0.0,2.3689235484246565,,0.050268381019368195,1.271686300996711,0.8733760580880557,0.14842325118239164,,1.9979956133658074,,,6.188162118619409,14.633501358955893,,,0.23382089496615327,0.0,0.23382089496615327,109.88002921889337,,,,,,,2.465292386012751
